"STATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT13","WT14","WT16","WT18","WT19","WT22"
"USW00094728","2015-01-28","7.61",,"0.00","0.0","7.9",,"34","16",,"  310","  310","16.1","23.9",,,,,,,,,,,,
"USW00094728","2015-01-29","3.80",,"0.02","0.0","5.9",,"36","19",,"  190","  180","14.1","19.9",,,,,,,,,,,,
"USW00094728","2015-01-30","10.51",,"0.06","1.0","7.1",,"38","19",,"  310","  300","21.9","36.0","    1",,,,,"    1",,,,,,
"USW00094728","2015-01-31","12.30",,"0.00","0.0","7.1",,"26","13",,"  310","  290","23.9","44.1",,,,,,,,,,,,
"USW00094728","2015-02-01","3.80",,"0.03","0.3","5.9",,"36","20",,"  250","  260","12.1","17.0","    1",,,,,"    1",,,,,,
"USW00094728","2015-02-02","9.84",,"1.02","5.0","7.1",,"34","14",,"   70","  310","21.9","32.0","    1","    1",,,"    1","    1",,,,,,
"USW00094728","2015-02-03","7.16",,"0.00","0.0","7.9",,"26","13",,"  310","  310","17.0","27.1",,,,,,,,,,,,
"USW00094728","2015-02-04","4.25",,"0.00","0.0","7.9",,"43","24",,"  260","  250","13.0","19.0",,,,,,,,,,,,
"USW00094728","2015-02-05","8.50",,"0.00","0.0","7.9",,"42","14",,"  360","  310","19.9","30.0",,,,,,,,,,,,
"USW00094728","2015-02-06","7.16",,"0.00","0.0","7.9",,"27","12",,"  270","  240","17.0","25.9",,,,,,,,,,,,
"USW00094728","2015-02-07","3.80",,"0.02","0.0","7.9",,"40","25",,"  260","  250","12.1","18.1",,,,,,"    1",,,,,,
"USW00094728","2015-02-08","8.50",,"0.00","0.0","7.9",,"37","29",,"   70","   60","18.1","25.9","    1",,,,,"    1",,,,,,
"USW00094728","2015-02-09","10.96",,"0.09","0.0","7.9",,"29","25",,"   60","   50","19.9","29.1",,,,,,"    1",,,,,,
"USW00094728","2015-02-10","10.51",,"0.01","0.1","7.9",,"40","26",,"   30","   30","18.1","28.0",,,,,,"    1",,,,,,
"USW00094728","2015-02-11","6.49",,"0.00","0.0","7.9",,"34","22",,"   50","   60","18.1","25.9",,,,,,,,,,,,
"USW00094728","2015-02-12","7.38",,"0.00","0.0","7.9",,"40","16",,"  310","  320","21.9","38.9",,,,,,"    1",,,,,,
"USW00094728","2015-02-13","9.17",,"0.00","0.0","7.9",,"21","8",,"  310","  300","21.9","36.9",,,,,,,,,,,,
